target_pheno_group	phenotype	var.label	name_fixEffect_pThre	sex.group	ai_fix_eff_esti	ai_pvalue2sided	ai_R2	ai_SE	cpd_fix_eff_esti	cpd_pvalue2sided	cpd_R2	cpd_SE	dpw_fix_eff_esti	dpw_pvalue2sided	dpw_R2	dpw_SE	sc_fix_eff_esti	sc_pvalue2sided	sc_R2	sc_SE	si_fix_eff_esti	si_pvalue2sided	si_R2	si_SE	signi.thres.T4
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q2_recode	Smoking initiation	S8	females	-0.03848	4.09711927464694e-06	0.00620123520233748	0.0083431	0.00154683	0.853544336910139	9.9186846796052e-06	0.00837896	0.0178075	0.0265414841241441	0.00128799216551391	0.00802523	0.00459504	0.617592387505415	9.10838688475093e-05	0.00920295	0.0786944	6.46832369089205e-22	0.0253799616156268	0.00813546	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q2_recode	Smoking initiation	S8	males	-0.0424486	4.00900933331564e-06	0.00754631308798697	0.00918969	0.0262648	0.00375772201123638	0.00285967782309105	0.00905683	0.0272681	0.00318803325978527	0.00302007043160904	0.00923937	0.0149582	0.132385884402461	0.000965209411848744	0.00993799	0.0887458	2.07381663378574e-23	0.0322774280280971	0.00883024	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q4	Age at starting regular smoking	S1	allSexes	0.183175	0.0210167002991334	0.00248876181099635	0.0793147	-0.0249646	0.750888822683657	4.65795202314353e-05	0.0786261	-0.0476091	0.544870850350993	0.000173934237946337	0.0786193	0.0712591	0.358178433815276	0.000380745882091951	0.0775357	-0.0606837	0.437830888307373	0.000277312340304109	0.0781993	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q4	Age at starting regular smoking	S1	females	0.209163	0.0472182455443298	0.00324504451034366	0.105299	-0.00828849	0.935432084214751	5.13448184885718e-06	0.10229	-0.0346557	0.733169040777425	9.21625508086395e-05	0.101632	-0.00934378	0.927852537281001	6.54635809155186e-06	0.103171	-0.149569	0.149906117492837	0.00168464450865987	0.103811	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q4	Age at starting regular smoking	S1	males	0.171591	0.145400100665581	0.00218393618536243	0.117742	-0.0815174	0.495657071679291	0.000496645409910924	0.11959	-0.00216156	0.985734930453691	3.58541743119932e-07	0.120859	0.163112	0.158313831305607	0.0019949240904668	0.115515	0.0563034	0.627239701840937	0.000238723038438759	0.115899	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q4	Age at starting regular smoking	S2	allSexes	0.143858	0.0683752721812558	0.00150712493178097	0.0788916	-0.0560609	0.476928049309923	0.000234007809145259	0.0788055	-0.173442	0.0290669876585562	0.00230423974071686	0.0794106	0.113438	0.146430595416555	0.000964670507313065	0.0780819	-0.158631	0.0472913267373178	0.00188025158125725	0.0799197	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q4	Age at starting regular smoking	S2	females	0.162784	0.121652324863391	0.00192976599720937	0.105092	-0.0672411	0.515768047546717	0.000336650945310319	0.103436	-0.149561	0.150884875624645	0.00171338845966546	0.104055	0.0356306	0.728624381557109	9.51717709265531e-05	0.102671	-0.184448	0.0806370687009494	0.00254207137033778	0.105491	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q4	Age at starting regular smoking	S2	males	0.157648	0.178910943314163	0.00180991487263134	0.117188	-0.0543278	0.646454349601723	0.000219762940118871	0.118397	-0.153265	0.202649146817492	0.00179930628081266	0.120203	0.234374	0.04969647156234	0.00411794691116551	0.119247	-0.151405	0.205258761823015	0.00171285371385755	0.119432	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q4	Age at starting regular smoking	S3	allSexes	0.0291159	0.71135207561198	6.33030078830108e-05	0.078672	0.0375164	0.63161043820585	0.00010485262201041	0.0782352	-0.181067	0.0215787625351557	0.002464031372898	0.078743	0.0681812	0.408730617263828	0.000347152492094603	0.0825139	-0.139296	0.083213011106598	0.00143744089654161	0.0803698	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q4	Age at starting regular smoking	S3	females	0.0415507	0.689072095827859	0.000128920089239933	0.103822	0.0493508	0.636270616317714	0.000181436798575501	0.104327	-0.255245	0.0124945460387787	0.00489645883682998	0.102032	0.069487	0.523416467172286	0.000360577090551765	0.108867	-0.158311	0.135745029045148	0.00185667072711965	0.106048	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q4	Age at starting regular smoking	S3	males	0.000890643	0.994036842150649	5.92340224922397e-08	0.119133	0.0214436	0.853528811386917	3.42556627902391e-05	0.116115	-0.0450168	0.709628735028345	0.000152305946975463	0.120856	0.106771	0.391883331867857	0.000851329390028238	0.124637	-0.102398	0.399884832575893	0.000776775741683335	0.121575	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q4	Age at starting regular smoking	S4	allSexes	0.153484	0.0486370640840661	0.00177141223667613	0.0777946	0.00948121	0.904816276903916	6.67843339750694e-06	0.0792781	-0.110691	0.15602156113371	0.000918243411555627	0.0780007	0.0253334	0.757293914659023	4.91532754588627e-05	0.0819645	-0.177072	0.0280468387801472	0.00235242570608368	0.0805533	0.000714285714285714
