target_pheno_group	phenotype	var.label	name_fixEffect_pThre	name_fix_eff2	ai_fix_eff_esti	ai_pvalue2sided	ai_R2	ai_SE	cpd_fix_eff_esti	cpd_pvalue2sided	cpd_R2	cpd_SE	dpw_fix_eff_esti	dpw_pvalue2sided	dpw_R2	dpw_SE	sc_fix_eff_esti	sc_pvalue2sided	sc_R2	sc_SE	si_fix_eff_esti	si_pvalue2sided	si_R2	si_SE	signi.thres.T4
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q3_recode	Smoking cessation	S1	sexPRS	0.0298246	0.0669602977803131	0.0100500569781392	0.0162752	-0.00917125	0.563684744448929	0.000961805918925566	0.0158828	-0.0113176	0.47042697441824	0.00148289534688789	0.0156783	-0.0208129	0.195258430794399	0.00494843240985075	0.0160664	0.00264568	0.86656965347128	8.0193860731853e-05	0.0157453	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q3_recode	Smoking cessation	S2	PRS	-0.00672658	0.795550210419565	0.0001817262898168	0.0259583	0.0403913	0.109424874182398	0.00669936747660465	0.0252257	0.0194646	0.447377108786536	0.00160050856386957	0.0256153	0.0430625	0.099327698300404	0.00766669659148455	0.0261212	0.00388007	0.878148173752265	6.20392985461315e-05	0.0253056	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q3_recode	Smoking cessation	S2	sexPRS	0.00530636	0.744386849435078	0.00030941986082932	0.0162734	-0.0115952	0.462509029515514	0.00152460358024189	0.01578	-0.0125094	0.430931504119335	0.00180289680494871	0.0158811	-0.0258597	0.11174647583717	0.00768867768822469	0.0162558	0.0145552	0.352575937298307	0.00240090204175041	0.0156553	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q3_recode	Smoking cessation	S3	PRS	0.00918384	0.717887981990413	0.00034734451448983	0.025418	0.0329245	0.18918406528853	0.00445372374673083	0.0250709	0.0142113	0.577103639381269	0.000837111204142463	0.0254832	0.0569624	0.0284100932994266	0.0133633543056727	0.0259806	0.0076387	0.769095265727607	0.000238396312010498	0.026019	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q3_recode	Smoking cessation	S3	sexPRS	-0.00628632	0.691527638367017	0.0004475440794154	0.0158419	-0.00768355	0.625099943569262	0.000671651421522531	0.0157231	-0.0132324	0.402396899170023	0.00199918120017371	0.0158008	-0.0274522	0.0897887311669081	0.00860545015674161	0.016177	0.013699	0.396693071248281	0.00211607684302667	0.0161612	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q3_recode	Smoking cessation	S4	PRS	-0.00136771	0.9562645369937	7.75763578112214e-06	0.0249374	0.0394108	0.124327963100338	0.00636393137099295	0.0256375	-0.0117668	0.648475993279919	0.000572265891240816	0.0258089	0.0201002	0.432049685634375	0.00170653098806135	0.0255799	0.043672	0.0905477809482346	0.00789169355416242	0.0257958	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q3_recode	Smoking cessation	S4	sexPRS	-0.00646223	0.67767067916045	0.000476159077315804	0.0155462	-0.0101117	0.528427488675797	0.00115918990535535	0.0160383	0.0118297	0.456640101661104	0.00160245189825673	0.01589	-0.00411993	0.792668007566421	0.000197905999811646	0.015673	-0.00313832	0.845699315675256	0.00011103911909189	0.0161251	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q3_recode	Smoking cessation	S5	PRS	-0.00167664	0.947862563772287	1.16254043136342e-05	0.0256383	0.00911875	0.719771116305488	0.000342090044005209	0.025415	-0.0107907	0.677916463051741	0.000480314422150765	0.0259802	0.0146918	0.56181207069151	0.000922243547771019	0.0253216	0.0326159	0.21090257974652	0.00434927947214089	0.0260652	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q3_recode	Smoking cessation	S5	sexPRS	-0.0095997	0.543799316223456	0.00104829161012846	0.0158114	0.00448936	0.777253086569859	0.000227855393528879	0.0158678	0.012374	0.441056009990492	0.00175180132958097	0.0160597	0.00191641	0.902121322801277	4.31160747104563e-05	0.0155817	0.000687898	0.966303067396271	5.29715965218904e-06	0.0162822	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q3_recode	Smoking cessation	S6	PRS	0.00790447	0.756559408019759	0.000260998154356853	0.0254961	0.00485119	0.84755674010122	9.6898115932385e-05	0.0252336	0.00425515	0.869562688994991	7.38829424229911e-05	0.0259103	0.0157198	0.537640943242421	0.00106121831889834	0.0255007	0.0200574	0.443892284540275	0.00164223192484556	0.026194	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q3_recode	Smoking cessation	S6	sexPRS	-0.0146754	0.350705688608901	0.00249032126960404	0.0157234	0.00543627	0.729283289315648	0.000335361089303261	0.0157069	9.8482e-05	0.995105001649905	1.10254032143459e-07	0.0160513	-0.000928521	0.952687234734043	1.01819023373569e-05	0.0156483	0.00560267	0.731438905363209	0.000350697840202021	0.0163229	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q3_recode	Smoking cessation	S7	PRS	-0.00145318	0.954409362703205	8.83355302464165e-06	0.0254165	0.00164781	0.948316560063903	1.12693510926317e-05	0.0254191	0.00217502	0.933854938301576	1.92122142924144e-05	0.0262045	0.00981494	0.697130020713808	0.000414295663042602	0.0252163	0.00933145	0.718900353717124	0.000356157465082379	0.0259237	0.000714285714285714
