target.phenotype	p.value.threshold	Freq_ai_allSexes	Freq_cpd_allSexes	Freq_dpw_allSexes	Freq_sc_allSexes	Freq_si_allSexes	Freq_ai_females	Freq_cpd_females	Freq_dpw_females	Freq_sc_females	Freq_si_females	Freq_ai_males	Freq_cpd_males	Freq_dpw_males	Freq_sc_males	Freq_si_males
SU_DSM4cannabisAbuse_ori	S1	-0.0220748044860571	0.0468602672638874	0.0212518175004902	0.0130998610636281	0.00688451806140092	-0.0161392578853544	0.0273797152035629	0.00701963758319564	0.0470965912992938	-0.00619216137583676	-0.0393801389325239	0.0744839399223017	0.0315609919219152	-0.0176891267412716	0.0242757651750728
SU_DSM4cannabisDepend_ori	S1	-0.0191590781933611	0.0349446035053206	0.00441564952771931	0.0132275308543984	0.015602997000656	-0.0109680265036658	0.0283392958935968	-0.0272362161840751	0.0213396711460155	0.004784498024323	-0.0327356352187199	0.046847810811751	0.0332047519558009	0.00592505982483009	0.0296317205983432
SU_DSM5alcoholUD_ori	S1	-0.00195585392561296	-0.0285408389912828	0.0354736267112657	-0.00812021028160479	0.0359366690496554	0.00175231434113699	-0.0244417165366955	0.0454281266119276	0.00494171120621609	0.0362834136528968	-0.0208489999019566	-0.0268755769864865	0.0111968557296936	-0.026442838219518	0.0443771543619833
SU_DSM5alcoholUD_0or1vs2or3	S1	0.00828432106993742	-0.031806544996689	0.0484184338649795	0.000596953203803049	0.0287941288615946	0.0049522103945504	-0.0205494594395238	0.0741306010304757	0.022720474901609	0.0377937595613136	0.000621260637193138	-0.0399521330251722	0.01255024479441	-0.0264719540134045	0.0225177632577234
SU_DSM5cannabisUD_ori	S1	-0.0283910365784419	0.0481709575736727	0.0151046111912789	0.03248720499935	0.0171070642488156	-0.0190618834352142	0.0331715570808707	-0.0036803936682567	0.0556207339770588	0.0100074918865244	-0.0487862909158032	0.0729024775078247	0.0324530411378053	0.0102412410428036	0.0279295604018915
SU_DSM5cannabisUD_0or1vs2or3	S1	-0.0295732685373536	0.0356713099553392	0.0281495863004603	0.0140380236127384	0.00428253352083864	-0.0208331037544084	0.0221585479109223	0.00353317036202897	0.0301031016367675	-0.00382997271567903	-0.0463687510320926	0.056203168884415	0.0492908128026817	-1.13039370094093e-05	0.0151133613140163
SU_cannabis_ever	S1	0.00946374214067011	-0.000150541865083988	-0.0141587053590236	-0.0105748379837916	0.038006478585156	-0.0218597891770594	0.0121635406008757	-0.0116187757545685	-0.0145270742162625	0.0347727364043851	0.0311037057854781	-0.00403575054518315	-0.0258231199765217	0.00109135803658784	0.0370606923786614
SU_cannabis_onset	S1	-0.0141782922161455	-0.030906104299518	-0.0103388296264519	0.0359790134589913	0.00552335887939301	-0.00945644989069955	-0.00734462698208976	0.0405034870070703	0.0629321775467116	-0.00841447848945946	-0.0202621699659319	-0.0526165901987604	-0.058453319005961	0.0208667834132535	0.023684981899059
SU_cannabis_abuse_onset	S1	-0.0662690603329799	-0.0123930476276231	0.0444499714291349	0.00367491475853172	-0.118369403498061	-0.23689325867362	0.110596053498011	0.0873256123897963	0.0102387598691472	-0.0889019132758604	0.0410530030523946	-0.0889204517862173	0.0217974964947051	-0.00709408317298654	-0.133016480135934
SU_cannabis_dependence_onset	S1	-0.0303279482068253	0.05211994697749	0.0254521204194959	-0.137483937893786	0.0282142013849841	-0.302966618439084	0.149336739380826	0.366249445883247	-0.262662032408776	0.233890779590376	0.136517776729452	-0.0103102816980551	-0.172010186351991	-0.0577576755241145	-0.109979481925882
SU_cannabis_use_disorder_onset	S1	-0.0335028587030989	-0.000896106659655104	0.0723664659389071	0.0257975926586901	-0.0853066981385899	-0.137551629935876	0.141672788497079	0.219413067330282	0.0207560195480152	-0.0126920122922277	0.0398907940605646	-0.104840952500569	-0.0290889793304682	0.0251587228059879	-0.135008134052461
SU_DSM4alcoholAbuse_ori	S2	0.0233961918076594	-0.0288306971554681	0.0215202354048105	-0.0286237658910938	0.0467414975615054	0.0166122759743584	-0.0253955169783592	0.0114710659599394	-0.0130216555539875	0.0487489441189666	0.0270451463248658	-0.0235408545084717	0.0367758751421832	-0.0503904696139069	0.0472810749224926
SU_DSM4alcoholDepend_ori	S2	0.0116358706093556	-0.0331428923623277	0.0446702964685824	-0.0217068288059508	0.016436933454904	0.00417593490953763	-0.03231123921997	0.0453260133155368	0.00997065628721312	0.062343278876053	0.0148563313823847	-0.0254769760533941	0.0461210272742019	-0.0631973667568383	-0.0374924877571374
